classifier_name,dataset_name,accuracy
SAX,Herring,0.515625
SAX-DR,Herring,0.46875
SAX_VFD,Herring,0.640625
SFA,Herring,0.46875
SPARTAN,Herring,0.5625
TFSAX,Herring,0.65625
1d-SAX,HouseTwenty,0.6890756302521008
ESAX,HouseTwenty,0.7226890756302521
SAX,HouseTwenty,0.6722689075630253
SAX-DR,HouseTwenty,0.6974789915966386
SAX_VFD,HouseTwenty,0.7563025210084033
SFA,HouseTwenty,0.7058823529411765
SPARTAN,HouseTwenty,0.7058823529411765
TFSAX,HouseTwenty,0.680672268907563
1d-SAX,InlineSkate,0.2945454545454545
ESAX,InlineSkate,0.249090909090909
SAX,InlineSkate,0.2345454545454545
SAX-DR,InlineSkate,0.2618181818181818
SAX_VFD,InlineSkate,0.1963636363636363
SFA,InlineSkate,0.2672727272727273
SPARTAN,InlineSkate,0.2836363636363636
TFSAX,InlineSkate,0.2672727272727273
1d-SAX,InsectEPGRegularTrain,0.6746987951807228
ESAX,InsectEPGRegularTrain,0.6305220883534136
SAX,InsectEPGRegularTrain,0.6626506024096386
SAX-DR,InsectEPGRegularTrain,0.6827309236947792
SAX_VFD,InsectEPGRegularTrain,0.7068273092369478
SFA,InsectEPGRegularTrain,0.6546184738955824
SPARTAN,InsectEPGRegularTrain,0.7068273092369478
TFSAX,InsectEPGRegularTrain,0.5943775100401606
1d-SAX,InsectEPGSmallTrain,0.6506024096385542
ESAX,InsectEPGSmallTrain,0.6385542168674698
SAX,InsectEPGSmallTrain,0.678714859437751
SAX-DR,InsectEPGSmallTrain,0.6706827309236948
SAX_VFD,InsectEPGSmallTrain,0.6104417670682731
SFA,InsectEPGSmallTrain,0.6024096385542169
SPARTAN,InsectEPGSmallTrain,0.6506024096385542
TFSAX,InsectEPGSmallTrain,0.6104417670682731
1d-SAX,InsectWingbeatSound,0.4853535353535353
ESAX,InsectWingbeatSound,0.3535353535353535
SAX,InsectWingbeatSound,0.4686868686868687
SAX-DR,InsectWingbeatSound,0.3702020202020202
SAX_VFD,InsectWingbeatSound,0.1777777777777777
SFA,InsectWingbeatSound,0.4833333333333333
SPARTAN,InsectWingbeatSound,0.5055555555555555
TFSAX,InsectWingbeatSound,0.4277777777777777
1d-SAX,ItalyPowerDemand,0.9387755102040816
ESAX,ItalyPowerDemand,0.8950437317784257
SAX,ItalyPowerDemand,0.9310009718172984
SAX-DR,ItalyPowerDemand,0.9290573372206026
SAX_VFD,ItalyPowerDemand,0.7259475218658892
SFA,ItalyPowerDemand,0.9552964042759962
SPARTAN,ItalyPowerDemand,0.9300291545189504
TFSAX,ItalyPowerDemand,0.932944606413994
1d-SAX,LargeKitchenAppliances,0.4026666666666667
ESAX,LargeKitchenAppliances,0.368
SAX,LargeKitchenAppliances,0.3786666666666666
SAX-DR,LargeKitchenAppliances,0.3786666666666666
SAX_VFD,LargeKitchenAppliances,0.3946666666666666
SFA,LargeKitchenAppliances,0.472
SPARTAN,LargeKitchenAppliances,0.4533333333333333
TFSAX,LargeKitchenAppliances,0.376
1d-SAX,Lightning2,0.6229508196721312
ESAX,Lightning2,0.7540983606557377
SAX,Lightning2,0.7704918032786885
SAX-DR,Lightning2,0.6065573770491803
SAX_VFD,Lightning2,0.7540983606557377
SFA,Lightning2,0.7377049180327869
SPARTAN,Lightning2,0.7868852459016393
TFSAX,Lightning2,0.6557377049180327
1d-SAX,Lightning7,0.4931506849315068
ESAX,Lightning7,0.6027397260273972
SAX,Lightning7,0.5068493150684932
SAX-DR,Lightning7,0.4794520547945205
SAX_VFD,Lightning7,0.4520547945205479
SFA,Lightning7,0.6164383561643836
SPARTAN,Lightning7,0.6164383561643836
TFSAX,Lightning7,0.4794520547945205
1d-SAX,Mallat,0.4678038379530916
ESAX,Mallat,0.4869936034115139
SAX,Mallat,0.4895522388059701
SAX-DR,Mallat,0.6008528784648187
SAX_VFD,Mallat,0.6631130063965884
SFA,Mallat,0.8332622601279318
SPARTAN,Mallat,0.9253731343283582
TFSAX,Mallat,0.5948827292110874
1d-SAX,Meat,0.4
ESAX,Meat,0.4333333333333333
SAX,Meat,0.3333333333333333
SAX-DR,Meat,0.35
SAX_VFD,Meat,0.6166666666666667
SFA,Meat,0.85
SPARTAN,Meat,0.85
TFSAX,Meat,0.4
1d-SAX,MedicalImages,0.5118421052631579
ESAX,MedicalImages,0.5618421052631579
SAX,MedicalImages,0.5565789473684211
