dataset,method,train_time,pred_time
Symbols,PAA,4.5013427734375e-06,1.7803518017332757e-07
Symbols,DFT,2.193450927734375e-05,2.1254956422738693e-05
Symbols,PCA+Allocation,0.00010012626647949218,1.8666138002021829e-06
Symbols,PCA+Allocation_randomized,0.00010120391845703125,2.5310708050751806e-06
SonyAIBORobotSurface2,PAA,4.697729040075231e-06,1.3784746808495376e-07
SonyAIBORobotSurface2,DFT,1.2539051197193288e-06,4.7283432791390673e-07
SonyAIBORobotSurface2,PCA+Allocation,4.384252760145399e-05,2.48175477931532e-07
SonyAIBORobotSurface2,PCA+Allocation_randomized,4.2208918818721065e-05,2.3766804842233407e-07
Coffee,PAA,4.444803510393415e-06,3.559248788016183e-06
Coffee,DFT,3.082411629813058e-06,2.358640943254743e-06
Coffee,PCA+Allocation,6.11884253365653e-05,4.3851988656180244e-06
Coffee,PCA+Allocation_randomized,6.0013362339564734e-05,4.163810185023717e-06
FreezerSmallTrain,PAA,4.5299530029296875e-06,1.0197622734203674e-07
FreezerSmallTrain,DFT,3.789152417864118e-06,3.2204075863486844e-06
FreezerSmallTrain,PCA+Allocation,5.920444216047015e-05,1.2175242106119791e-06
FreezerSmallTrain,PCA+Allocation_randomized,5.829334259033203e-05,1.4508397955643503e-06
Beef,PAA,4.029273986816406e-06,3.0676523844401043e-06
Beef,DFT,8.789698282877604e-06,4.092852274576823e-06
Beef,PCA+Allocation,0.0001863241195678711,5.269050598144532e-06
Beef,PCA+Allocation_randomized,0.000182191530863444,4.561742146809896e-06
OliveOil,PAA,4.490216573079427e-06,3.520647684733073e-06
OliveOil,DFT,5.555152893066406e-06,3.989537556966146e-06
OliveOil,PCA+Allocation,0.0002292633056640625,5.372365315755209e-06
OliveOil,PCA+Allocation_randomized,0.00011204083760579427,5.292892456054687e-06
BME,PAA,4.013379414876302e-06,6.643931070963542e-07
BME,DFT,1.0728836059570312e-06,4.752477010091146e-07
BME,PCA+Allocation,4.6022733052571614e-05,9.202957153320312e-07
BME,PCA+Allocation_randomized,4.40518061319987e-05,9.886423746744791e-07
CBF,PAA,4.108746846516927e-06,1.5311770968967015e-07
CBF,DFT,1.0728836059570312e-06,4.871686299641927e-07
CBF,PCA+Allocation,4.599094390869141e-05,8.43207041422526e-07
CBF,PCA+Allocation_randomized,4.4957796732584635e-05,1.1626879374186199e-06
ToeSegmentation2,PAA,3.3908420138888887e-06,8.179591252253605e-07
ToeSegmentation2,DFT,2.9736095004611543e-06,2.4978931133563702e-06
ToeSegmentation2,PCA+Allocation,0.00014257431030273438,2.2668104905348558e-06
ToeSegmentation2,PCA+Allocation_randomized,0.00015496545367770724,2.191616938664363e-06
UMD,PAA,3.3775965372721353e-06,7.136000527275933e-07
UMD,DFT,1.2119611104329426e-06,7.318125830756294e-07
UMD,PCA+Allocation,4.5226679907904734e-05,1.0000334845648872e-06
UMD,PCA+Allocation_randomized,4.333919949001736e-05,9.735425313313801e-07
ArrowHead,PAA,3.51005130343967e-06,6.362370082310268e-07
ArrowHead,DFT,8.689032660590277e-06,8.155277797154018e-06
ArrowHead,PCA+Allocation,8.502271440294053e-05,1.5286036900111606e-06
ArrowHead,PCA+Allocation_randomized,8.764531877305772e-05,1.5395028250558036e-06
HouseTwenty,PAA,4.464387893676758e-06,1.6709335711823792e-06
HouseTwenty,DFT,1.3780593872070312e-05,1.0901138562114298e-05
HouseTwenty,PCA+Allocation,0.0007782518863677978,1.209122794015067e-05
HouseTwenty,PCA+Allocation_randomized,0.0003194630146026611,1.1834777703806131e-05
