method,dataset,acc
spartan_pca,GunPointOldVersusYoung,0.9333333333333332
spartan_pca,Ham,0.4571428571428571
spartan_pca,HandOutlines,0.8027027027027027
spartan_pca,Haptics,0.3701298701298701
spartan_pca,Herring,0.53125
spartan_pca,HouseTwenty,0.7058823529411765
spartan_pca,InlineSkate,0.2927272727272727
spartan_pca,InsectEPGRegularTrain,0.7068273092369478
spartan_pca,InsectEPGSmallTrain,0.5943775100401606
spartan_pca,InsectWingbeatSound,0.4853535353535353
spartan_pca,ItalyPowerDemand,0.8999028182701652
spartan_pca,LargeKitchenAppliances,0.44
spartan_pca,Lightning2,0.7868852459016393
spartan_pca,Lightning7,0.5068493150684932
spartan_pca,Mallat,0.8183368869936034
spartan_pca,Meat,0.8666666666666667
spartan_pca,MedicalImages,0.5894736842105263
spartan_pca,MelbournePedestrian,0.7285772857728577
spartan_pca,MiddlePhalanxOutlineAgeGroup,0.4025974025974026
spartan_pca,MiddlePhalanxOutlineCorrect,0.5979381443298969
spartan_pca,MiddlePhalanxTW,0.4545454545454545
spartan_pca,MixedShapesRegularTrain,0.814020618556701
spartan_pca,MixedShapesSmallTrain,0.7125773195876288
spartan_pca,MoteStrain,0.7452076677316294
spartan_pca,NonInvasiveFetalECGThorax1,0.6137404580152672
spartan_pca,NonInvasiveFetalECGThorax2,0.6798982188295165
spartan_pca,OliveOil,0.8
spartan_pca,OSULeaf,0.4669421487603306
spartan_pca,PhalangesOutlinesCorrect,0.655011655011655
spartan_pca,Phoneme,0.0617088607594936
spartan_pca,PickupGestureWiimoteZ,0.5
spartan_pca,PigAirwayPressure,0.0625
spartan_pca,PigArtPressure,0.0913461538461538
spartan_pca,PigCVP,0.0528846153846153
spartan_pca,PLAID,0.4189944134078212
spartan_pca,Plane,0.9428571428571428
spartan_pca,PowerCons,0.8777777777777778
spartan_pca,ProximalPhalanxOutlineAgeGroup,0.7268292682926829
spartan_pca,ProximalPhalanxOutlineCorrect,0.6941580756013745
spartan_pca,ProximalPhalanxTW,0.6292682926829268
spartan_pca,RefrigerationDevices,0.3653333333333333
spartan_pca,Rock,0.88
spartan_pca,ScreenType,0.392
spartan_pca,SemgHandGenderCh2,0.88
spartan_pca,SemgHandMovementCh2,0.6088888888888889
spartan_pca,SemgHandSubjectCh2,0.7822222222222223
spartan_pca,ShakeGestureWiimoteZ,0.38
spartan_pca,ShapeletSim,0.5222222222222223
spartan_pca,ShapesAll,0.5866666666666667
spartan_pca,SmallKitchenAppliances,0.408
spartan_pca,SmoothSubspace,0.7
spartan_pca,SonyAIBORobotSurface1,0.7820299500831946
spartan_pca,SonyAIBORobotSurface2,0.8237145855194123
spartan_pca,StarLightCurves,0.8693540553666829
spartan_pca,Strawberry,0.927027027027027
spartan_pca,SwedishLeaf,0.6624
spartan_pca,Symbols,0.8301507537688442
spartan_pca,SyntheticControl,0.8066666666666666
spartan_pca,ToeSegmentation1,0.6052631578947368
spartan_pca,ToeSegmentation2,0.7307692307692307
spartan_pca,Trace,0.55
spartan_pca,TwoLeadECG,0.781387181738367
spartan_pca,TwoPatterns,0.64025
spartan_pca,UMD,0.75
spartan_pca,UWaveGestureLibraryAll,0.8777219430485762
spartan_pca,UWaveGestureLibraryX,0.6041317699609157
spartan_pca,UWaveGestureLibraryY,0.5697934115019542
spartan_pca,UWaveGestureLibraryZ,0.5778894472361809
spartan_pca,Wafer,0.9839390006489293
spartan_pca,Wine,0.6296296296296297
spartan_pca,WordSynonyms,0.463949843260188
spartan_pca,Worms,0.4935064935064935
spartan_pca,WormsTwoClass,0.5844155844155844
spartan_pca,Yoga,0.7103333333333334
spartan_pca_allocation,ACSF1,0.6
spartan_pca_allocation,Adiac,0.4347826086956521
spartan_pca_allocation,AllGestureWiimoteX,0.3285714285714285
spartan_pca_allocation,AllGestureWiimoteY,0.3942857142857143
spartan_pca_allocation,AllGestureWiimoteZ,0.3114285714285714
spartan_pca_allocation,ArrowHead,0.8171428571428572
spartan_pca_allocation,Beef,0.5666666666666667
spartan_pca_allocation,BeetleFly,0.55
spartan_pca_allocation,BirdChicken,0.5
spartan_pca_allocation,BME,0.8933333333333333
spartan_pca_allocation,Car,0.6666666666666666
spartan_pca_allocation,CBF,0.8444444444444444
spartan_pca_allocation,Chinatown,0.8746355685131195
spartan_pca_allocation,ChlorineConcentration,0.4583333333333333
spartan_pca_allocation,CinCECGTorso,0.7565217391304347
spartan_pca_allocation,Coffee,1.0
spartan_pca_allocation,Computers,0.496
spartan_pca_allocation,CricketX,0.4487179487179487
spartan_pca_allocation,CricketY,0.4307692307692308
spartan_pca_allocation,CricketZ,0.4384615384615384
spartan_pca_allocation,Crop,0.4952380952380952
spartan_pca_allocation,DiatomSizeReduction,0.8071895424836601
spartan_pca_allocation,DistalPhalanxOutlineAgeGroup,0.6618705035971223
spartan_pca_allocation,DistalPhalanxOutlineCorrect,0.6847826086956522
spartan_pca_allocation,DistalPhalanxTW,0.5611510791366906
spartan_pca_allocation,DodgerLoopDay,0.5625
spartan_pca_allocation,DodgerLoopGame,0.8188405797101449
spartan_pca_allocation,DodgerLoopWeekend,0.8695652173913043
spartan_pca_allocation,Earthquakes,0.6906474820143885
spartan_pca_allocation,ECG200,0.88
spartan_pca_allocation,ECG5000,0.9268888888888888
spartan_pca_allocation,ECGFiveDays,0.7502903600464577
spartan_pca_allocation,ElectricDevices,0.484243288808196
spartan_pca_allocation,EOGHorizontalSignal,0.3535911602209944
spartan_pca_allocation,EOGVerticalSignal,0.3784530386740331
spartan_pca_allocation,EthanolLevel,0.228
spartan_pca_allocation,FaceAll,0.4798816568047337
spartan_pca_allocation,FaceFour,0.7613636363636364
spartan_pca_allocation,FacesUCR,0.5365853658536586
spartan_pca_allocation,FiftyWords,0.5296703296703297
spartan_pca_allocation,Fish,0.6457142857142857
spartan_pca_allocation,FordA,0.5924242424242424
spartan_pca_allocation,FordB,0.528395061728395
spartan_pca_allocation,FreezerRegularTrain,0.7066666666666667
spartan_pca_allocation,FreezerSmallTrain,0.6722807017543859
spartan_pca_allocation,Fungi,0.7741935483870968
spartan_pca_allocation,GestureMidAirD1,0.3923076923076923
spartan_pca_allocation,GestureMidAirD2,0.5153846153846153
spartan_pca_allocation,GestureMidAirD3,0.2461538461538461
spartan_pca_allocation,GesturePebbleZ1,0.7616279069767442
spartan_pca_allocation,GesturePebbleZ2,0.8037974683544303
spartan_pca_allocation,GunPoint,0.84
spartan_pca_allocation,GunPointAgeSpan,0.8575949367088608
spartan_pca_allocation,GunPointMaleVersusFemale,0.9588607594936708
spartan_pca_allocation,GunPointOldVersusYoung,0.9142857142857144
spartan_pca_allocation,Ham,0.5238095238095238
spartan_pca_allocation,HandOutlines,0.772972972972973
spartan_pca_allocation,Haptics,0.3928571428571428
spartan_pca_allocation,Herring,0.5625
spartan_pca_allocation,HouseTwenty,0.7058823529411765
spartan_pca_allocation,InlineSkate,0.249090909090909
spartan_pca_allocation,InsectEPGRegularTrain,0.6867469879518072
spartan_pca_allocation,InsectEPGSmallTrain,0.6586345381526104
spartan_pca_allocation,InsectWingbeatSound,0.4818181818181818
spartan_pca_allocation,ItalyPowerDemand,0.9251700680272108
spartan_pca_allocation,LargeKitchenAppliances,0.448
spartan_pca_allocation,Lightning2,0.8032786885245902
spartan_pca_allocation,Lightning7,0.5616438356164384
spartan_pca_allocation,Mallat,0.9219616204690833
spartan_pca_allocation,Meat,0.9666666666666668
spartan_pca_allocation,MedicalImages,0.5960526315789474
spartan_pca_allocation,MelbournePedestrian,0.7609676096760968
spartan_pca_allocation,MiddlePhalanxOutlineAgeGroup,0.4285714285714285
spartan_pca_allocation,MiddlePhalanxOutlineCorrect,0.7044673539518901
spartan_pca_allocation,MiddlePhalanxTW,0.4935064935064935
spartan_pca_allocation,MixedShapesRegularTrain,0.8222680412371134
spartan_pca_allocation,MixedShapesSmallTrain,0.7364948453608248
spartan_pca_allocation,MoteStrain,0.7236421725239617
spartan_pca_allocation,NonInvasiveFetalECGThorax1,0.6132315521628499
spartan_pca_allocation,NonInvasiveFetalECGThorax2,0.6946564885496184
spartan_pca_allocation,OliveOil,0.8666666666666667
spartan_pca_allocation,OSULeaf,0.4132231404958678
spartan_pca_allocation,PhalangesOutlinesCorrect,0.6841491841491841
spartan_pca_allocation,Phoneme,0.0632911392405063
spartan_pca_allocation,PickupGestureWiimoteZ,0.64
spartan_pca_allocation,PigAirwayPressure,0.0576923076923076
spartan_pca_allocation,PigArtPressure,0.1201923076923077
spartan_pca_allocation,PigCVP,0.0336538461538461
spartan_pca_allocation,PLAID,0.4227188081936685
spartan_pca_allocation,Plane,0.9428571428571428
spartan_pca_allocation,PowerCons,0.9111111111111112
spartan_pca_allocation,ProximalPhalanxOutlineAgeGroup,0.7365853658536585
spartan_pca_allocation,ProximalPhalanxOutlineCorrect,0.7628865979381443
spartan_pca_allocation,ProximalPhalanxTW,0.6780487804878049
spartan_pca_allocation,RefrigerationDevices,0.336
spartan_pca_allocation,Rock,0.8
spartan_pca_allocation,ScreenType,0.4106666666666667
spartan_pca_allocation,SemgHandGenderCh2,0.86
spartan_pca_allocation,SemgHandMovementCh2,0.5911111111111111
spartan_pca_allocation,SemgHandSubjectCh2,0.7933333333333333
spartan_pca_allocation,ShakeGestureWiimoteZ,0.42
spartan_pca_allocation,ShapeletSim,0.5222222222222223
spartan_pca_allocation,ShapesAll,0.59
spartan_pca_allocation,SmallKitchenAppliances,0.3706666666666666
spartan_pca_allocation,SmoothSubspace,0.7
spartan_pca_allocation,SonyAIBORobotSurface1,0.7803660565723793
spartan_pca_allocation,SonyAIBORobotSurface2,0.8205666316894019
spartan_pca_allocation,StarLightCurves,0.861947547353084
spartan_pca_allocation,Strawberry,0.9216216216216216
spartan_pca_allocation,SwedishLeaf,0.6368
spartan_pca_allocation,Symbols,0.8391959798994975
spartan_pca_allocation,SyntheticControl,0.8066666666666666
spartan_pca_allocation,ToeSegmentation1,0.6447368421052632
spartan_pca_allocation,ToeSegmentation2,0.7846153846153846
spartan_pca_allocation,Trace,0.64
spartan_pca_allocation,TwoLeadECG,0.6918349429323969
spartan_pca_allocation,TwoPatterns,0.614
spartan_pca_allocation,UMD,0.8611111111111112
spartan_pca_allocation,UWaveGestureLibraryAll,0.8905639307649358
spartan_pca_allocation,UWaveGestureLibraryX,0.6420993858179788
spartan_pca_allocation,UWaveGestureLibraryY,0.5843104410943607
spartan_pca_allocation,UWaveGestureLibraryZ,0.6063651591289783
spartan_pca_allocation,Wafer,0.9897793640493188
spartan_pca_allocation,Wine,0.5
spartan_pca_allocation,WordSynonyms,0.4702194357366771
spartan_pca_allocation,Worms,0.5064935064935064
spartan_pca_allocation,WormsTwoClass,0.5714285714285714
spartan_pca_allocation,Yoga,0.7256666666666667
