dataset,method,tlb
Lightning2,SFA,0.1761022617973824
InsectEPGRegularTrain,SFA,0.2584281682231016
Herring,SFA,0.2183388197215987
ItalyPowerDemand,SFA,0.2190343156316117
Lightning7,SFA,0.1819673784472044
DodgerLoopDay,SFA,0.1619625593305209
ACSF1,SFA,0.0233563226397636
ECG200,SFA,0.2288351545750306
Trace,SFA,0.3422385238219198
InlineSkate,SFA,0.2298226164810949
MixedShapesSmallTrain,SFA,0.2658704680442126
PigAirwayPressure,SFA,0.2968777166992714
PigArtPressure,SFA,0.0602809156456387
PigCVP,SFA,0.1875972956925394
Plane,SFA,0.2104638913845106
Ham,SFA,0.1317547193998883
GesturePebbleZ1,SFA,0.1863967663337163
GunPointAgeSpan,SFA,0.2895521307398271
GunPointMaleVersusFemale,SFA,0.2895521307398271
GunPointOldVersusYoung,SFA,0.2895521307398271
GesturePebbleZ2,SFA,0.1863967663337162
SmoothSubspace,SFA,0.2969238638439047
FreezerRegularTrain,SFA,0.2955837608032227
Haptics,SFA,0.2046265961361299
Fish,SFA,0.2180696133112102
PowerCons,SFA,0.2120254632077053
Worms,SFA,0.2097513693277743
WormsTwoClass,SFA,0.2097513693277743
OSULeaf,SFA,0.2001401116962841
FacesUCR,SFA,0.0560078206978391
GestureMidAirD1,SFA,0.2972252693093378
GestureMidAirD2,SFA,0.3047666959140313
GestureMidAirD3,SFA,0.3474518432277327
Phoneme,SFA,0.0116920241767845
InsectWingbeatSound,SFA,0.1643002007839802
Computers,SFA,0.1870803292262716
WordSynonyms,SFA,0.2541686443262193
SyntheticControl,SFA,0.2518644861846772
SemgHandGenderCh2,SFA,0.0751324724330594
AllGestureWiimoteX,SFA,0.2045469323402975
AllGestureWiimoteY,SFA,0.2583885007691795
AllGestureWiimoteZ,SFA,0.2116211159135924
Yoga,SFA,0.2822769501589999
Earthquakes,SFA,0.0438056056601467
EOGHorizontalSignal,SFA,0.2910240796636658
EOGVerticalSignal,SFA,0.2319010287704205
LargeKitchenAppliances,SFA,0.1398590856321556
RefrigerationDevices,SFA,0.0227307957457888
ScreenType,SFA,0.1941954993559437
SmallKitchenAppliances,SFA,0.0471573314835795
MedicalImages,SFA,0.1855300897407005
CricketX,SFA,0.2193743599030986
CricketY,SFA,0.2131747630442341
CricketZ,SFA,0.2199042319612078
Adiac,SFA,0.1911897032872344
MiddlePhalanxTW,SFA,0.1719060894569543
DistalPhalanxOutlineAgeGroup,SFA,0.2011767905393257
DistalPhalanxTW,SFA,0.2011767905393257
MiddlePhalanxOutlineAgeGroup,SFA,0.171699974405
ProximalPhalanxOutlineAgeGroup,SFA,0.1784447205239348
ProximalPhalanxTW,SFA,0.1784447205239347
SemgHandMovementCh2,SFA,0.0751324724330595
