method,metric,dataset,acc
SAX,boss,SemgHandMovementCh2,0.1888888888888888
SAX,boss,SemgHandSubjectCh2,0.2555555555555555
SAX,boss,ShakeGestureWiimoteZ,0.58
SAX,boss,ShapeletSim,0.9666666666666668
SAX,boss,ShapesAll,0.27
SAX,boss,SmallKitchenAppliances,0.3093333333333333
SAX,boss,SmoothSubspace,0.58
SAX,boss,SonyAIBORobotSurface1,0.6505823627287853
SAX,boss,SonyAIBORobotSurface2,0.8163693599160545
SAX,boss,StarLightCurves,0.3331714424477902
SAX,boss,Strawberry,0.8486486486486486
SAX,boss,SwedishLeaf,0.4784
SAX,boss,Symbols,0.3065326633165829
SAX,boss,SyntheticControl,0.67
SAX,boss,ToeSegmentation1,0.631578947368421
SAX,boss,ToeSegmentation2,0.7923076923076923
SAX,boss,Trace,0.71
SAX,boss,TwoLeadECG,0.7805092186128183
SAX,boss,TwoPatterns,0.486
SAX,boss,UMD,0.8125
SAX,boss,UWaveGestureLibraryAll,0.0527638190954773
SAX,boss,UWaveGestureLibraryX,0.2350642099385818
SAX,boss,UWaveGestureLibraryY,0.1652707984366276
SAX,boss,UWaveGestureLibraryZ,0.1878838637632607
SAX,boss,Wafer,0.9883192731992212
SAX,boss,Wine,0.7592592592592593
SAX,boss,WordSynonyms,0.2068965517241379
SAX,boss,Worms,0.2727272727272727
SAX,boss,WormsTwoClass,0.4805194805194805
SAX,boss,Yoga,0.5613333333333334
SAX,cosine_similarity,ACSF1,0.52
SAX,cosine_similarity,Adiac,0.2352941176470588
SAX,cosine_similarity,AllGestureWiimoteX,0.2971428571428571
SAX,cosine_similarity,AllGestureWiimoteY,0.2985714285714286
SAX,cosine_similarity,AllGestureWiimoteZ,0.2885714285714286
SAX,cosine_similarity,ArrowHead,0.52
SAX,cosine_similarity,Beef,0.5333333333333333
SAX,cosine_similarity,BeetleFly,0.85
SAX,cosine_similarity,BirdChicken,0.8
SAX,cosine_similarity,BME,0.6266666666666667
SAX,cosine_similarity,Car,0.4833333333333333
SAX,cosine_similarity,CBF,0.7177777777777777
SAX,cosine_similarity,Chinatown,0.8250728862973761
SAX,cosine_similarity,ChlorineConcentration,0.6458333333333334
SAX,cosine_similarity,CinCECGTorso,0.7492753623188406
SAX,cosine_similarity,Coffee,0.8928571428571429
SAX,cosine_similarity,Computers,0.72
SAX,cosine_similarity,CricketX,0.2128205128205128
SAX,cosine_similarity,CricketY,0.2461538461538461
SAX,cosine_similarity,CricketZ,0.2282051282051282
SAX,cosine_similarity,Crop,0.5016071428571428
SAX,cosine_similarity,DiatomSizeReduction,0.7712418300653595
